id,Llama
979983185160359936,-0.5
979982683492306944,-0.7
979981399821348864,-0.8
979979681343655936,0.6
979979319609982976,0.2
979979281303453696,-0.9
979979277214068736,-0.9
979979088747098112,-0.9
979978863269773312,-0.9
979978226322804736,-1
979978175387262976,-0.9
979978065664200704,-0.8
979977163670740992,-0.9
979977162215346176,-0.8
979977131680845824,0.7
979977097207844864,-0.9
979977029570482176,-0.8
979977026135306240,0.6
979976974138560512,-0.9
979976921852399616,0
979976909995028480,-0.9
979976897194070016,0.2
979976608797855744,0.5
979976419617988608,0.8
979975969942499328,-0.8
979975908411949056,0.8
979975587891576832,-0.4
979975581109489664,-0.8
979975104829403136,-0.8
979975078061453312,0.8
979975058377641984,0.8
979973990834933760,-0.4
979973832894279680,-0.7
979973797678903296,-0.8
979973768771547136,-0.8
979973238951378944,0.7
979972835648200704,0.2
979972830015127552,0.6
979972827137835008,0.2
979972409741709312,0.5
979972393304317952,-0.7
979972330272075776,0.9
979972053116899328,-0.9
979971942508912640,-0.8
979971883398393856,-0.8
979969674568962048,0.6
979969011898306560,-1
979968756628598784,0
979968624935997440,0.5
979967976882556928,-1
979967795919286272,-0.7
979967083357331456,0.8
979966651058835456,-0.8
979966480044445696,-0.8
979966035574034432,0.8
979965636238508032,0.7
979964962108919808,-0.7
979964798124331008,0.2
979964764070825984,-0.8
979964523414282240,-0.8
979963176665088000,-0.8
979962883361595392,0.2
979962744005890048,0.2
979961958123352064,-0.7
979961596696059904,0.5
979958771765059584,-0.8
979958609000923136,0.2
979958516629700608,-1
979958300220493824,-0.5
979958188991811584,0.2
979957746102661120,-0.9
979955965276516352,0.8
979955944934313984,-0.4
979955432046452736,-0.9
979954704779182080,-1
979954401380007936,0.5
979952794659643392,0.4
979952138255151104,-0.8
979952128201580544,0.5
979951825938886656,0.2
979951080485408768,-0.9
979949768729231360,-0.8
979948281563267072,-0.4
979948053510504448,-0.8
979948035777101824,-1
979947581873647616,-0.7
979947095267274752,0.7
979946657101045760,-0.9
979946656639672320,-0.9
979946292787818496,-0.7
979946159635484672,-0.4
979945831599104000,0.2
979945612790476800,-0.6
979945432313810944,NA
979944801557557248,-0.3
979944535877935104,-0.6
979944400825606144,-0.5
979944361365524480,0.7
979944135527403520,-0.9
979942427904565248,-0.6
979942016829345792,-0.7
979941194670264320,-1
979939471742459904,0.5
979938975417806848,0.2
